pontoId,error_loc,lat,lat_pred,lon,lon_pred
11,40.27960064582875,-8.077539999999999,-8.077839496148453,-34.899223,-34.89901791462168
34,31.73661148253054,-8.077447,-8.077480167950505,-34.898941,-34.89865500208114
98,122.10539610719125,-8.077102,-8.078198824346401,-34.897942,-34.897929177000066
128,78.65332623304438,-8.076888,-8.07640218335666,-34.897411,-34.897929177000066
153,146.61822679598242,-8.076694999999999,-8.076222519257687,-34.896812,-34.89557024548657
177,48.94994759158837,-8.076508,-8.076941175653584,-34.896190999999995,-34.896114614297375
221,38.6824267000017,-8.076389,-8.076222519257687,-34.895988,-34.896296070567644
226,81.94278849146039,-8.076376,-8.076042855158711,-34.895996000000004,-34.89665898310818
240,30.27666847713849,-8.076315,-8.07640218335666,-34.895649,-34.8953887892163
250,167.92148022394866,-8.076267,-8.07765983204948,-34.895247999999995,-34.89466296413522
261,5.049715095149118,-8.076213000000001,-8.076222519257687,-34.895344,-34.8953887892163
265,35.329857706396304,-8.076188,-8.076222519257687,-34.899788,-34.900106652243295
284,72.91368069304563,-8.076097,-8.07550386286179,-34.899826000000004,-34.900106652243295
294,8.855668023921893,-8.076038,-8.076042855158711,-34.899845,-34.899925195973026
305,18.505943833285645,-8.075975,-8.075863191059739,-34.899868,-34.89974373970276
310,17.426504846189314,-8.075953,-8.075863191059739,-34.894352000000005,-34.89448150786495
312,99.74792836818581,-8.075934,-8.075144534663842,-34.89986,-34.900288108513564
333,192.2533147929529,-8.075839,-8.077480167950505,-34.893936,-34.89339277024334
336,63.23440614255041,-8.075809,-8.075683526960763,-34.89991,-34.90046956478383
349,92.45510691967905,-8.075749,-8.075863191059739,-34.896190999999995,-34.89702189564872
353,55.47876950400652,-8.075722,-8.075324198762814,-34.893696000000006,-34.89339277024334
356,61.940186255825715,-8.075703,-8.076042855158711,-34.896214,-34.89665898310818
372,270.2617863526462,-8.075594,-8.078019160247429,-34.893326,-34.89321131397307
393,26.254920056188524,-8.075491,-8.075683526960763,-34.892986,-34.89284840143253
397,122.87678045857496,-8.075475,-8.075683526960763,-34.89629,-34.89738480818926
401,49.2698946122409,-8.075467999999999,-8.07550386286179,-34.900024,-34.90046956478383
411,14.141016480131876,-8.075448,-8.07550386286179,-34.893459,-34.89357422651361
428,73.96365321433004,-8.075394000000001,-8.075683526960763,-34.900047,-34.9006510210541
448,31.45731071966907,-8.075251,-8.07550386286179,-34.89225,-34.892122576351454
450,22.360728141508066,-8.075237,-8.075144534663842,-34.900108,-34.900288108513564
470,98.14207011377167,-8.075055,-8.075324198762814,-34.900166,-34.90101393359464
504,34.50894957371756,-8.074734,-8.074785206465894,-34.900234000000005,-34.899925195973026
505,40.73295512875539,-8.074732000000001,-8.074605542366918,-34.900271999999994,-34.899925195973026
515,35.842213929929144,-8.07465,-8.074785206465894,-34.893642,-34.893937139054145
564,32.42684652677071,-8.074375,-8.07424621416897,-34.890209000000006,-34.889945101108225
571,28.902027048192295,-8.07432,-8.074066550069997,-34.900345,-34.900288108513564
572,14.801411182233547,-8.074319000000001,-8.074425878267945,-34.900368,-34.900288108513564
598,35.140923204435005,-8.074222,-8.07424621416897,-34.890263,-34.889945101108225
635,111.19913857483552,-8.074012,-8.074066550069997,-34.893837,-34.89484442040549
641,92.86205751523168,-8.073952,-8.074785206465894,-34.899059,-34.89901791462168
658,48.42817168904634,-8.073794,-8.074066550069997,-34.900490000000005,-34.90083247732437
709,75.22627344156558,-8.073417999999998,-8.07388688597102,-34.89399,-34.89448150786495
799,70.11714441673061,-8.072937,-8.072629237278203,-34.895740999999994,-34.896296070567644
817,44.05767356366376,-8.072897,-8.072988565476152,-34.896633,-34.89702189564872
878,39.23632120156816,-8.072637,-8.072988565476152,-34.896503,-34.89647752683791
880,110.25086690642472,-8.072631,-8.072629237278203,-34.894756,-34.893755682783876
906,8.481585853615343,-8.072566,-8.072629237278203,-34.896339000000005,-34.896296070567644
915,8.82501487544237,-8.072550999999999,-8.072629237278203,-34.896309,-34.896296070567644
920,50.28527310718513,-8.072543,-8.072988565476152,-34.896221000000004,-34.896296070567644
979,46.63845842829894,-8.072407,-8.072808901377176,-34.896358,-34.89647752683791
991,54.649208829151405,-8.072363000000001,-8.072269909080255,-34.89642,-34.895933158027105
1000,23.520895224570264,-8.072318,-8.072449573179227,-34.896491999999995,-34.89665898310818
1007,26.345076435465717,-8.072275999999999,-8.072449573179227,-34.892323,-34.89248548889199
1010,80.67309722256695,-8.072271,-8.072988565476152,-34.89658,-34.89647752683791
1083,16.976744908183452,-8.071765,-8.071910580882307,-34.891987,-34.891941120081185
1124,54.17142393800112,-8.0714,-8.071551252684358,-34.895466,-34.895933158027105
1139,8.129208924145432,-8.071301,-8.071371588585382,-34.897003000000005,-34.89702189564872
1159,17.55663997975084,-8.071158,-8.071012260387434,-34.892002000000005,-34.891941120081185
1168,39.06663074758697,-8.071112,-8.071012260387434,-34.890694,-34.89103383872984
1173,41.391679507181806,-8.07108,-8.070832596288462,-34.896923,-34.89720335191899
1178,40.16304484771639,-8.071036,-8.07119192448641,-34.895786,-34.896114614297375
1196,10.18492953744654,-8.070922,-8.071012260387434,-34.891926,-34.891941120081185
1214,25.741754145913923,-8.070808,-8.071012260387434,-34.892376,-34.89248548889199
1220,25.565171583814095,-8.070801,-8.071012260387434,-34.892395,-34.89230403262172
1236,29.40135905063356,-8.070749000000001,-8.071012260387434,-34.892464000000004,-34.89248548889199
1245,68.72588522506013,-8.070731,-8.070113939892565,-34.892284000000004,-34.89230403262172
1296,51.761112160357406,-8.070575999999999,-8.070113939892565,-34.896893,-34.89684043937845
1299,32.32738749362367,-8.070557,-8.070652932189486,-34.896209999999996,-34.895933158027105
1316,17.779290898725364,-8.070496,-8.070652932189486,-34.896629,-34.89665898310818
1352,171.5898493270203,-8.070367999999998,-8.070473268090513,-34.896941999999996,-34.8953887892163
1358,39.200736767976984,-8.070338000000001,-8.070113939892565,-34.900921000000004,-34.90119538986491
1378,156.8473839035256,-8.070210000000001,-8.069215619397692,-34.900913,-34.901921214945986
1396,65.96509389042015,-8.070126,-8.06957494759564,-34.889725,-34.889945101108225
1411,163.0321345924893,-8.070072999999999,-8.069395283496668,-34.889904,-34.89121529500011
1455,109.13217768720344,-8.069952,-8.070832596288462,-34.889472999999995,-34.88903781975688
1499,110.08003422272331,-8.069836,-8.068856291199744,-34.897339,-34.89720335191899
1510,48.83466414728336,-8.069811,-8.069754611694616,-34.894558,-34.894118595324414
1566,85.55092481523592,-8.069649,-8.06903595529872,-34.889477,-34.889945101108225
1578,15.457551206358218,-8.069616,-8.069754611694616,-34.894836,-34.89484442040549
1609,48.089104198624355,-8.06955,-8.069934275793589,-34.895008000000004,-34.89520733294603
1634,50.7463387100414,-8.069486,-8.06903595529872,-34.895134000000006,-34.89520733294603
1642,50.74927561259592,-8.069464,-8.06903595529872,-34.898678000000004,-34.89883645835141
1669,52.93840247791722,-8.069386,-8.06903595529872,-34.895351,-34.89502587667576
1697,12.832307888018983,-8.069309,-8.069395283496668,-34.895466,-34.8953887892163
1729,140.03595200043375,-8.069237,-8.070473268090513,-34.888077,-34.8883119946758
1735,28.16553750080149,-8.069232000000001,-8.069395283496668,-34.895584,-34.8953887892163
1775,68.14459853693931,-8.069133,-8.069395283496668,-34.899547999999996,-34.900106652243295
1781,41.189653220348895,-8.069096,-8.069395283496668,-34.895790000000005,-34.89557024548657
1814,42.34536816891289,-8.069003,-8.068856291199744,-34.900478,-34.90083247732437
1876,50.54578224594017,-8.068832,-8.069215619397692,-34.900352000000005,-34.900106652243295
1921,83.1138054325267,-8.068699,-8.067957970704875,-34.88913,-34.88903781975688
1944,71.88230230723383,-8.068651,-8.068317298902823,-34.896645,-34.89720335191899
2002,19.56969792974037,-8.068535,-8.068676627100771,-34.889477,-34.88958218856769
2006,20.940553783272108,-8.068521,-8.068496963001795,-34.896652,-34.89684043937845
2045,14.742096453747076,-8.068365,-8.068496963001795,-34.891566999999995,-34.89157820754065
2052,9.354187841210475,-8.068321000000001,-8.068317298902823,-34.891663,-34.89157820754065
2083,50.86741176482252,-8.068089,-8.068137634803847,-34.890404,-34.889945101108225
2095,10.865072180314662,-8.06803,-8.067957970704875,-34.890556,-34.89048946991903
2098,13.559270412040965,-8.068027,-8.068137634803847,-34.890438,-34.89048946991903
2113,84.56761867832938,-8.067917999999999,-8.068676627100771,-34.89053,-34.89048946991903
2121,39.47799386021571,-8.067875,-8.067598642506926,-34.896702000000005,-34.89647752683791
2150,79.70752863670417,-8.067466,-8.068137634803847,-34.893505,-34.893755682783876
2160,107.34684609523426,-8.067336,-8.066520657913081,-34.89378,-34.89430005159468
2174,95.33815811244794,-8.067182,-8.066700322012053,-34.894108,-34.89339277024334
2189,48.15677105676606,-8.067122999999999,-8.066700322012053,-34.894207,-34.89430005159468
2193,117.82623836026355,-8.0671,-8.06687998611103,-34.894257,-34.89321131397307
2209,108.14294472378316,-8.067011,-8.067957970704875,-34.894444,-34.89466296413522
2266,228.51723943313837,-8.066717,-8.068496963001795,-34.89497,-34.893937139054145
2269,39.05911552148008,-8.066692,-8.06687998611103,-34.893692,-34.89339277024334
2274,167.78226295356004,-8.066664,-8.068137634803847,-34.895164,-34.89484442040549
2283,33.48644594982436,-8.066616,-8.066340993814105,-34.895148999999996,-34.89502587667576
2287,96.76051808993891,-8.066604,-8.06741897840795,-34.889706,-34.88940073229742
2297,42.63745263445594,-8.066508,-8.066340993814105,-34.893589,-34.893937139054145
2373,25.895864768168877,-8.065868,-8.065981665616157,-34.888107,-34.8883119946758
2407,157.9067414159553,-8.065813,-8.064544352824363,-34.890029999999996,-34.8906709261893
2410,0.8915645109930587,-8.06581,-8.065802001517184,-34.890671000000005,-34.8906709261893
2436,40.95885330777423,-8.065794,-8.066161329715133,-34.890147999999996,-34.890126557378494
2439,41.92583674945904,-8.065792,-8.066161329715133,-34.890564000000005,-34.89048946991903
2470,30.413447789357786,-8.065681,-8.065802001517184,-34.892601,-34.89284840143253
2497,65.02610121038637,-8.065487,-8.064903681022312,-34.893786999999996,-34.893755682783876
2527,64.75528685006233,-8.065246,-8.06472401692334,-34.892952,-34.89321131397307
2540,113.7471994221883,-8.065119000000001,-8.065622337418208,-34.901385999999995,-34.902284127486524
2541,97.23921112559033,-8.065111,-8.064544352824363,-34.885826,-34.88649743197311
2569,82.8496191535343,-8.064917999999999,-8.065442673319236,-34.885216,-34.88468286927042
2589,34.9653080019659,-8.064724,-8.064544352824363,-34.893314000000004,-34.89357422651361
2592,38.75777767933738,-8.064694,-8.064903681022312,-34.8895,-34.88921927602715
2617,37.27198692274588,-8.064395,-8.064185024626415,-34.894382,-34.894118595324414
2639,58.74224063371979,-8.064171,-8.063646032329494,-34.897076,-34.89702189564872
2701,90.0112441074997,-8.063788,-8.063646032329494,-34.901455,-34.9006510210541
2705,21.885263274652296,-8.063782000000002,-8.063825696428466,-34.893925,-34.894118595324414
2709,20.586436751432565,-8.06376,-8.063825696428466,-34.893944,-34.894118595324414
2712,16.072626801503613,-8.063746,-8.063825696428466,-34.893997,-34.894118595324414
2714,43.904871923381606,-8.063728999999999,-8.063646032329494,-34.886108,-34.88649743197311
2716,41.02947349744895,-8.063722,-8.063646032329494,-34.897202,-34.89756626445953
2758,127.20841551199857,-8.063472,-8.064185024626415,-34.888851,-34.887949082135265
2777,128.84123791128138,-8.063251,-8.0622087195377,-34.886715,-34.88722325705419
2781,104.78297020762497,-8.063214,-8.063646032329494,-34.897265999999995,-34.898110633270335
2792,140.92341728424404,-8.06306,-8.064005360527442,-34.888618,-34.887767625864996
2811,197.54268413646224,-8.062819000000001,-8.063286704131546,-34.897289,-34.89901791462168
2859,33.57507485189072,-8.062325999999999,-8.062029055438725,-34.887821,-34.887767625864996
2861,130.2874083467643,-8.06231,-8.061490063141804,-34.901676,-34.90083247732437
2863,29.004356411305714,-8.062281,-8.062029055438725,-34.887882,-34.887949082135265
2877,47.82890641319194,-8.061975,-8.0622087195377,-34.901920000000004,-34.902284127486524
2893,64.03943537914613,-8.061481,-8.061669727240776,-34.902824,-34.90337286510814
2901,23.750197559765788,-8.061305,-8.061490063141804,-34.903843,-34.90373577764868
2907,386.12194935235846,-8.061189,-8.058076445261293,-34.904556,-34.9030099525676
2916,195.52603096284335,-8.060772,-8.059513758053086,-34.905155,-34.903917233918946
2923,73.36513958203456,-8.0607,-8.061130734943855,-34.905228,-34.90573179662164
2936,11.77896265051319,-8.060138,-8.060232414448983,-34.905865000000006,-34.90591325289191
2942,21.265219619673395,-8.059703,-8.059873086251034,-34.906364,-34.906276165432445
